imdb_score,duration,gross,budget
8.0,111.0,206435493.0,150000000.0
8.3,128.0,205343774.0,150000000.0
6.7,89.0,179982968.0,150000000.0
5.9,105.0,177243721.0,150000000.0
6.7,119.0,179883016.0,150000000.0
6.7,129.0,139259759.0,150000000.0
7.6,102.0,400736600.0,150000000.0
7.2,138.0,281492479.0,150000000.0
7.1,112.0,206360018.0,170000000.0
8.1,120.0,153629485.0,150000000.0
6.7,146.0,133375846.0,150000000.0
7.0,115.0,181015141.0,150000000.0
6.9,96.0,114053579.0,150000000.0
5.1,88.0,119420252.0,150000000.0
5.8,99.0,83640426.0,150000000.0
6.2,113.0,79711678.0,100000000.0
7.4,131.0,195000874.0,150000000.0
5.8,119.0,61937495.0,150000000.0
6.6,110.0,124051759.0,180000000.0
6.2,91.0,126597121.0,150000000.0
7.3,90.0,165230261.0,150000000.0
4.2,103.0,131564731.0,150000000.0
6.9,124.0,133382309.0,150000000.0
6.4,131.0,73103784.0,150000000.0
5.4,88.0,21379315.0,150000000.0
6.7,85.0,64459316.0,149000000.0
5.8,111.0,34964818.0,150000000.0
6.9,92.0,111505642.0,145000000.0
7.2,196.0,133228348.0,175000000.0
6.9,93.0,216366733.0,145000000.0
6.1,133.0,160201106.0,142000000.0
5.5,116.0,118099659.0,144000000.0
6.6,153.0,201573391.0,140000000.0
6.1,88.0,190418803.0,140000000.0
6.3,115.0,82161969.0,150000000.0
7.2,95.0,143523463.0,145000000.0
7.4,133.0,209364921.0,145000000.0
7.3,97.0,103400692.0,145000000.0
6.1,90.0,110332737.0,100000000.0
7.7,154.0,111110575.0,140000000.0
6.1,150.0,65007045.0,140000000.0
8.0,127.0,257704099.0,150000000.0
7.3,121.0,403706375.0,139000000.0
7.9,102.0,176997107.0,145000000.0
5.5,126.0,31141074.0,140000000.0
5.0,121.0,31704416.0,135000000.0
7.7,215.0,107503316.0,130000000.0
6.6,127.0,129734803.0,140000000.0
5.7,138.0,132122995.0,137000000.0
5.8,122.0,122512052.0,130000000.0
6.0,124.0,68642452.0,130000000.0
6.4,106.0,32131830.0,137000000.0
6.9,124.0,176636816.0,140000000.0
6.4,128.0,126930660.0,135000000.0
7.4,138.0,93926386.0,150000000.0
5.5,115.0,292298923.0,120000000.0
5.9,100.0,63992328.0,135000000.0
6.8,135.0,134518390.0,150000000.0
7.5,60.0,0.0,1500000.0
6.8,117.0,52792307.0,140000000.0
8.1,156.0,183635922.0,135000000.0
6.5,96.0,83024900.0,135000000.0
7.2,107.0,123207194.0,135000000.0
6.7,92.0,83348920.0,132000000.0
8.1,115.0,227137090.0,110000000.0
7.6,92.0,215395021.0,130000000.0
7.4,117.0,180191634.0,130000000.0
7.6,146.0,424645577.0,130000000.0
5.5,115.0,292298923.0,120000000.0
6.7,94.0,177343675.0,135000000.0
6.5,116.0,234277056.0,132000000.0
6.6,147.0,138396624.0,130000000.0
6.7,90.0,149234747.0,130000000.0
6.4,101.0,118311368.0,110000000.0
5.8,138.0,101160529.0,125000000.0
7.4,107.0,77564037.0,135000000.0
7.8,142.0,249358727.0,130000000.0
6.6,165.0,49551662.0,130000000.0
4.9,100.0,60522097.0,130000000.0
6.5,82.0,137748063.0,127500000.0
6.2,98.0,113733726.0,127000000.0
7.3,95.0,148337537.0,130000000.0
7.5,159.0,317557891.0,125000000.0
5.6,96.0,33592415.0,130000000.0
8.2,120.0,0.0,0.0
8.1,143.0,305388685.0,140000000.0
6.7,123.0,337103873.0,125000000.0
6.6,174.0,217536138.0,125000000.0
6.4,101.0,131536019.0,103000000.0
7.5,134.0,214948780.0,110000000.0
7.3,132.0,209805005.0,125000000.0
7.5,129.0,186830669.0,125000000.0
5.8,106.0,163192114.0,125000000.0
7.5,113.0,119412921.0,65000000.0
6.6,102.0,32694788.0,85000000.0
6.7,135.0,113165635.0,125000000.0
3.7,125.0,107285004.0,125000000.0
6.0,110.0,260031035.0,123000000.0
6.4,124.0,186739919.0,125000000.0
6.1,123.0,215397307.0,125000000.0
6.4,130.0,182618434.0,140000000.0
5.6,92.0,131920333.0,130000000.0
8.0,127.0,124976634.0,120000000.0
5.2,123.0,115802596.0,110000000.0
7.1,123.0,108521835.0,120000000.0
4.8,107.0,100685880.0,120000000.0
7.0,124.0,126464904.0,130000000.0
5.4,77.0,64736114.0,120000000.0
6.6,109.0,93050117.0,115000000.0
6.7,134.0,57637485.0,105000000.0
6.2,117.0,58607007.0,100000000.0
6.1,135.0,43929341.0,120000000.0
5.3,121.0,30212620.0,120000000.0
6.3,117.0,76418654.0,117000000.0
7.0,124.0,89021735.0,120000000.0
7.6,140.0,380262555.0,113000000.0
6.7,142.0,310675583.0,115000000.0
8.1,92.0,289907418.0,115000000.0
6.7,138.0,132550960.0,120000000.0
6.5,136.0,474544677.0,115000000.0
7.3,98.0,187165546.0,135000000.0
5.1,116.0,0.0,78000000.0
6.0,153.0,40911830.0,115000000.0
6.1,120.0,47952020.0,115000000.0
5.9,101.0,190871240.0,125000000.0
7.8,91.0,274084951.0,100000000.0
5.8,108.0,67155742.0,116000000.0
6.3,112.0,81638674.0,135000000.0
4.3,100.0,56114221.0,120000000.0
6.4,108.0,250863268.0,110000000.0
6.1,114.0,155181732.0,110000000.0
6.5,119.0,125332007.0,110000000.0
7.1,142.0,113330342.0,110000000.0
6.4,125.0,125531634.0,110000000.0
6.5,126.0,186336103.0,120000000.0
6.3,119.0,129995817.0,110000000.0
7.5,170.0,102608827.0,110000000.0
4.9,85.0,42776259.0,112000000.0
5.8,119.0,98780042.0,120000000.0
7.6,60.0,0.0,0.0
6.2,102.0,106369117.0,110000000.0
5.5,103.0,142614158.0,110000000.0
5.4,76.0,50026353.0,110000000.0
5.8,120.0,66002193.0,110000000.0
7.1,127.0,85463309.0,110000000.0
5.4,105.0,71017784.0,105000000.0
3.7,121.0,48068396.0,160000000.0
6.7,114.0,61656849.0,110000000.0
7.2,129.0,134520804.0,110000000.0
8.8,171.0,313837577.0,93000000.0
5.8,120.0,24004159.0,110000000.0
6.8,165.0,58183966.0,107000000.0
3.8,82.0,100446895.0,109000000.0
7.1,115.0,144795350.0,120000000.0
7.2,194.0,47396698.0,130000000.0
5.9,84.0,140015224.0,133000000.0
7.1,97.0,104374107.0,105000000.0
8.1,151.0,228430993.0,108000000.0
6.9,136.0,35799026.0,126000000.0
4.4,104.0,6712451.0,90000000.0
6.5,127.0,101643008.0,90000000.0
8.5,171.0,187670866.0,103000000.0
7.7,145.0,132014112.0,102000000.0
7.4,174.0,261970615.0,100000000.0
8.0,144.0,167007184.0,150000000.0
5.7,119.0,180011740.0,100000000.0
8.5,153.0,204843350.0,102000000.0
7.0,140.0,97030725.0,100000000.0
7.8,176.0,130127620.0,100000000.0
7.2,141.0,146282411.0,115000000.0
6.4,106.0,65452312.0,100000000.0
5.5,98.0,148383780.0,100000000.0
6.7,116.0,119219978.0,100000000.0
6.1,115.0,101228120.0,100000000.0
8.5,165.0,162804648.0,100000000.0
6.9,91.0,100117603.0,100000000.0
7.3,78.0,89296573.0,100000000.0
6.7,103.0,85017401.0,92000000.0
6.9,131.0,173005002.0,100000000.0
5.1,104.0,75030163.0,100000000.0
6.8,101.0,77222184.0,100000000.0
5.8,111.0,34964818.0,150000000.0
6.7,102.0,107515297.0,100000000.0
6.0,103.0,67631157.0,100000000.0
5.7,121.0,66862068.0,83000000.0
8.0,143.0,57366262.0,100000000.0
8.2,240.0,116866727.0,100000000.0
5.4,121.0,184031112.0,100000000.0
7.2,129.0,54700065.0,105000000.0
7.5,172.0,27098580.0,102000000.0
7.0,101.0,55673333.0,80000000.0
3.3,87.0,40198710.0,100000000.0
6.0,101.0,72660029.0,100000000.0
7.1,95.0,38120554.0,140000000.0
5.4,102.0,49392095.0,100000000.0
6.1,131.0,39292022.0,90000000.0
5.3,114.0,28772222.0,105000000.0
2.2,94.0,17010646.0,84000000.0
7.0,122.0,24985612.0,100000000.0
3.8,95.0,4411102.0,100000000.0
6.9,115.0,35024475.0,100000000.0
7.2,88.0,130174897.0,99000000.0
7.3,110.0,10200000.0,10000000.0
6.3,130.0,202007640.0,98000000.0
7.5,216.0,77679638.0,100000000.0
7.6,146.0,9213.0,94000000.0
6.8,85.0,58867694.0,100000000.0
5.2,93.0,59475623.0,90000000.0
7.7,152.0,108638745.0,92000000.0
6.2,85.0,86897182.0,95000000.0
7.7,126.0,63540020.0,93000000.0
4.3,146.0,95328937.0,100000000.0
6.9,89.0,50802661.0,95000000.0
6.6,88.0,161317423.0,95000000.0
7.0,105.0,201148159.0,95000000.0
6.7,135.0,43982842.0,65000000.0
8.2,100.0,380838870.0,94000000.0
8.9,192.0,377019252.0,94000000.0
8.7,172.0,340478898.0,94000000.0
5.5,102.0,17176900.0,95000000.0
5.7,100.0,131144183.0,115000000.0
6.3,119.0,23014504.0,100000000.0
5.9,92.0,181166115.0,93000000.0
7.6,105.0,176740650.0,93000000.0
6.6,107.0,71148699.0,90000000.0
5.3,101.0,67344392.0,92000000.0
6.0,137.0,22406362.0,107000000.0
8.0,115.0,261437578.0,92000000.0
5.6,124.0,11000000.0,98000000.0
5.9,118.0,88761720.0,95000000.0
7.3,98.0,250147615.0,90000000.0
7.9,82.0,245823397.0,90000000.0
6.8,98.0,81557479.0,100000000.0
6.6,90.0,226138454.0,90000000.0
6.6,130.0,155370362.0,100000000.0
7.0,90.0,124870275.0,100000000.0
7.0,94.0,196573705.0,90000000.0
7.3,114.0,58229120.0,90000000.0
5.5,94.0,125305545.0,92000000.0
8.5,151.0,132373442.0,90000000.0
7.5,88.0,120618403.0,90000000.0
7.0,121.0,110416702.0,92000000.0
7.8,158.0,102515793.0,90000000.0
7.6,128.0,100012500.0,90000000.0
7.6,128.0,209019489.0,90000000.0
6.8,95.0,84037039.0,120000000.0
5.0,92.0,85884815.0,90000000.0
7.1,121.0,83077470.0,75000000.0
5.5,113.0,100018837.0,90000000.0
5.6,106.0,78747585.0,88000000.0
7.1,146.0,78616689.0,100000000.0
4.9,88.0,75817994.0,90000000.0
7.4,150.0,100853835.0,90000000.0
5.7,119.0,73209340.0,95000000.0
6.4,128.0,72515360.0,80000000.0
5.9,106.0,68558662.0,90000000.0
5.5,117.0,65653758.0,95000000.0
6.9,129.0,64685359.0,90000000.0
6.2,116.0,61355436.0,68000000.0
7.0,114.0,26871.0,92000000.0
5.6,114.0,60874615.0,90000000.0
7.0,96.0,143618384.0,90000000.0
6.8,132.0,58220776.0,100000000.0
5.4,104.0,47474112.0,90000000.0
6.1,111.0,42877165.0,86000000.0
6.7,138.0,35168677.0,100000000.0
4.3,100.0,56114221.0,120000000.0
6.9,129.0,37567440.0,20000000.0
8.0,144.0,61644321.0,88000000.0
4.4,110.0,190562.0,90000000.0
7.3,140.0,120147445.0,87000000.0
6.3,113.0,241688385.0,92000000.0
6.7,106.0,144512310.0,38000000.0
7.7,143.0,233630478.0,90000000.0
6.5,108.0,197992827.0,100000000.0
7.8,108.0,176049130.0,75000000.0
6.4,124.0,172620724.0,85000000.0
7.8,116.0,183405771.0,85000000.0
5.8,110.0,20315324.0,75000000.0
7.1,91.0,148313048.0,85000000.0
7.1,107.0,127706877.0,85000000.0
8.6,44.0,0.0,0.0
6.8,115.0,126149655.0,85000000.0
4.8,100.0,66941559.0,85000000.0
6.2,104.0,78009155.0,75000000.0
6.9,138.0,63224849.0,85000000.0
7.3,140.0,111544445.0,90000000.0
6.6,120.0,112703470.0,85000000.0
6.9,122.0,117144465.0,85000000.0
6.2,83.0,84303558.0,85000000.0
6.7,139.0,150832203.0,85000000.0
7.6,131.0,51396781.0,68000000.0
6.7,104.0,47592825.0,85000000.0
6.2,130.0,50016394.0,70000000.0
7.3,145.0,57010853.0,85000000.0
6.0,104.0,62494975.0,85000000.0
7.1,97.0,46440491.0,100000000.0
7.1,178.0,44606335.0,90000000.0
5.5,108.0,40048332.0,85000000.0
7.8,123.0,0.0,0.0
5.6,106.0,64933670.0,85000000.0
7.5,112.0,31494270.0,60000000.0
5.4,135.0,31111260.0,60000000.0
4.3,109.0,123307945.0,65000000.0
4.9,86.0,153288182.0,84000000.0
7.1,95.0,13401683.0,35000000.0
6.4,107.0,137340146.0,70000000.0
6.9,130.0,0.0,8000000.0
4.3,82.0,43575716.0,85000000.0
6.1,88.0,80170146.0,85000000.0
7.0,120.0,75754670.0,85000000.0
7.7,162.0,33048353.0,65000000.0
5.9,123.0,34543701.0,82000000.0
6.7,101.0,242589580.0,81000000.0
6.5,113.0,102981571.0,80000000.0
7.1,110.0,180965237.0,80000000.0
7.3,142.0,407999255.0,78000000.0
6.5,102.0,254455986.0,80000000.0
7.0,126.0,162831698.0,80000000.0
6.8,83.0,155019340.0,80000000.0
7.2,85.0,145771527.0,80000000.0
6.4,97.0,82506325.0,0.0
6.1,120.0,140459099.0,75000000.0
6.7,116.0,53215979.0,84000000.0
6.4,113.0,158115031.0,82000000.0
4.4,87.0,133103929.0,75000000.0
5.4,101.0,133668525.0,80000000.0
6.5,110.0,130313314.0,80000000.0
6.7,128.0,124590960.0,80000000.0
8.1,138.0,127968405.0,80000000.0
5.6,88.0,120136047.0,80000000.0
6.3,91.0,128200012.0,75000000.0
7.3,138.0,112225777.0,80000000.0
6.1,99.0,109993847.0,80000000.0
7.7,117.0,104054514.0,80000000.0
6.4,117.0,103028109.0,80000000.0
8.8,54.0,0.0,0.0
6.8,123.0,101087161.0,75000000.0
6.6,118.0,101111837.0,80000000.0
7.2,154.0,95632614.0,79000000.0
6.9,118.0,94822707.0,80000000.0
5.2,90.0,92969824.0,80000000.0
4.9,113.0,91188905.0,80000000.0
6.3,88.0,90443603.0,80000000.0
5.6,93.0,82226474.0,65000000.0
5.5,104.0,79363785.0,80000000.0
6.7,135.0,76081498.0,75000000.0
7.6,134.0,85707116.0,68000000.0
5.7,98.0,74329966.0,70000000.0
4.6,80.0,100169068.0,80000000.0
7.0,83.0,73215310.0,80000000.0
5.2,102.0,80360866.0,80000000.0
5.1,130.0,69102910.0,80000000.0
6.6,129.0,65948711.0,80000000.0
7.0,117.0,821997.0,0.0
6.7,89.0,169692572.0,80000000.0
7.6,25.0,0.0,0.0
7.3,74.0,60507228.0,80000000.0
5.9,96.0,56684819.0,80000000.0
5.6,114.0,50628009.0,90000000.0
6.5,99.0,69772969.0,80000000.0
5.9,129.0,45356386.0,75000000.0
7.0,113.0,55350897.0,85000000.0
5.3,90.0,39442871.0,80000000.0
5.9,118.0,37899638.0,88000000.0
6.3,106.0,37754208.0,70000000.0
6.4,81.0,0.0,0.0
6.9,117.0,27779888.0,0.0
6.3,89.0,38542418.0,80000000.0
7.3,145.0,34566746.0,80000000.0
5.8,114.0,32885565.0,80000000.0
5.2,87.0,36073232.0,80000000.0
2.4,119.0,21471685.0,44000000.0
5.7,91.0,20950820.0,80000000.0
5.8,118.0,19673424.0,80000000.0
5.6,116.0,19480739.0,80000000.0
6.0,177.0,17593391.0,80000000.0
5.8,97.0,18318000.0,80000000.0
6.0,106.0,27356090.0,90000000.0
5.7,106.0,17473245.0,70000000.0
6.0,94.0,15131330.0,86000000.0
7.8,104.0,19406406.0,40000000.0
4.2,102.0,1891821.0,52000000.0
5.6,105.0,23219748.0,80000000.0
8.2,135.0,170708996.0,58000000.0
8.5,73.0,422783777.0,45000000.0
5.8,94.0,103812241.0,79000000.0
6.5,95.0,119793567.0,78000000.0
7.2,124.0,92930005.0,78000000.0
6.7,136.0,67286731.0,100000000.0
3.4,91.0,74158157.0,79000000.0
5.9,107.0,127083765.0,76000000.0
7.8,108.0,1339152.0,81200000.0
5.9,99.0,15071514.0,80000000.0
4.1,92.0,26000610.0,76000000.0
6.8,87.0,323505540.0,75000000.0
5.8,110.0,66462600.0,78000000.0
7.5,98.0,368049635.0,76000000.0
6.9,154.0,306124059.0,75000000.0
6.5,129.0,229074524.0,73000000.0
6.9,86.0,193136719.0,75000000.0
7.9,109.0,35286428.0,76000000.0
7.4,104.0,157299717.0,75000000.0
6.7,110.0,134568845.0,75000000.0
7.4,136.0,134006721.0,75000000.0
6.9,115.0,195329763.0,80000000.0
6.8,99.0,120776832.0,75000000.0
6.7,117.0,118823091.0,75000000.0
5.1,125.0,41814863.0,50000000.0
4.1,110.0,97360069.0,75000000.0
7.3,125.0,117698894.0,75000000.0
6.0,102.0,162001186.0,80000000.0
7.3,128.0,77032279.0,60000000.0
7.5,43.0,0.0,0.0
5.4,100.0,73023275.0,35000000.0
5.9,124.0,68473360.0,75000000.0
7.1,102.0,66636385.0,75000000.0
6.0,90.0,160762022.0,75000000.0
6.5,130.0,103338338.0,70000000.0
8.3,45.0,0.0,0.0
5.7,118.0,55808744.0,53000000.0
7.6,163.0,47379090.0,70000000.0
6.6,142.0,43426961.0,70000000.0
5.4,100.0,47000485.0,75000000.0
7.3,116.0,45434443.0,75000000.0
6.5,131.0,42044321.0,80000000.0
6.6,91.0,73661010.0,75000000.0
6.6,123.0,41523271.0,80000000.0
5.9,134.0,37600435.0,55000000.0
6.7,148.0,39251128.0,75000000.0
6.1,110.0,83503161.0,75000000.0
6.6,113.0,34636443.0,52000000.0
6.6,94.0,22751979.0,75000000.0
5.3,116.0,30013346.0,75000000.0
6.0,99.0,14567883.0,75000000.0
6.0,84.0,90820.0,0.0
4.7,93.0,5409517.0,75000000.0
6.1,113.0,21009180.0,45000000.0
7.2,106.0,94999143.0,75000000.0
6.4,91.0,336029560.0,74000000.0
6.1,128.0,36381716.0,82000000.0
5.9,98.0,55585389.0,69000000.0
6.0,134.0,36976367.0,75000000.0
6.3,97.0,107225164.0,73000000.0
5.6,112.0,70224196.0,70000000.0
6.4,153.0,51814190.0,75000000.0
7.1,110.0,47456450.0,70000000.0
6.6,122.0,148213377.0,73000000.0
4.6,87.0,112950721.0,72000000.0
8.4,178.0,75600000.0,72000000.0
7.1,125.0,62647540.0,70000000.0
7.4,87.0,183132370.0,75000000.0
6.9,152.0,27796042.0,72000000.0
4.5,116.0,32616869.0,72000000.0
7.1,109.0,18947630.0,59660000.0
6.5,108.0,114195633.0,60000000.0
5.3,85.0,144156464.0,71500000.0
6.7,106.0,227965690.0,72000000.0
7.2,93.0,436471036.0,150000000.0
7.2,117.0,244052771.0,120000000.0
5.5,116.0,152149590.0,70000000.0
5.8,132.0,141204016.0,70000000.0
6.0,92.0,162495848.0,74000000.0
6.6,139.0,136448821.0,80000000.0
8.3,153.0,120523073.0,75000000.0
6.7,142.0,119654900.0,70000000.0
6.0,101.0,72660029.0,100000000.0
7.1,124.0,117541000.0,70000000.0
6.0,117.0,116643346.0,80000000.0
7.5,45.0,0.0,0.0
6.9,141.0,100614858.0,68000000.0
5.6,110.0,42272747.0,70000000.0
5.6,109.0,80281096.0,60000000.0
4.5,88.0,219613391.0,75000000.0
7.1,124.0,78120196.0,75000000.0
6.5,119.0,98895417.0,70000000.0
6.4,103.0,70117571.0,58000000.0
5.8,116.0,83552429.0,70000000.0
8.0,125.0,66257002.0,70000000.0
6.2,125.0,65012000.0,70000000.0
7.2,146.0,79883359.0,66000000.0
6.1,118.0,78031620.0,70000000.0
7.6,171.0,54222000.0,69500000.0
6.3,136.0,52474616.0,70000000.0
6.3,92.0,55942830.0,70000000.0
6.3,116.0,40932372.0,70000000.0
7.7,127.0,38345403.0,70000000.0
7.0,136.0,37901509.0,70000000.0
5.3,111.0,48430355.0,70000000.0
5.6,116.0,30157016.0,70000000.0
5.2,113.0,28031250.0,60000000.0
5.4,97.0,33105600.0,70000000.0
6.4,88.0,62321039.0,70000000.0
5.9,136.0,38509342.0,75000000.0
6.3,125.0,19076815.0,60000000.0
6.5,116.0,25093607.0,35000000.0
3.0,98.0,18990542.0,70000000.0
3.6,91.0,14294842.0,70000000.0
5.8,97.0,19819494.0,70000000.0
6.2,95.0,13596911.0,70000000.0
5.6,88.0,8460990.0,70000000.0
5.4,133.0,7097125.0,70000000.0
6.1,106.0,37760080.0,70000000.0
4.2,116.0,5851188.0,70000000.0
6.7,115.0,25121291.0,50000000.0
4.2,99.0,18821279.0,70000000.0
6.4,124.0,118471320.0,68000000.0
4.9,124.0,300523113.0,68000000.0
6.8,124.0,71069884.0,68000000.0
7.7,87.0,251501645.0,69000000.0
5.6,105.0,35324232.0,68000000.0
6.4,125.0,81257500.0,68000000.0
7.2,141.0,617840.0,70000000.0
6.0,121.0,29655590.0,65000000.0
5.9,111.0,45045037.0,36000000.0
7.9,157.0,28965197.0,68000000.0
6.8,117.0,27550735.0,0.0
7.1,128.0,39380442.0,70000000.0
5.9,114.0,72980108.0,0.0
5.9,105.0,37516013.0,69000000.0
6.2,113.0,87704396.0,66000000.0
7.4,30.0,0.0,0.0
7.0,121.0,83892374.0,66000000.0
5.4,102.0,5932060.0,35000000.0
8.6,169.0,216119491.0,70000000.0
6.5,132.0,43568507.0,66000000.0
6.4,127.0,182805123.0,70000000.0
7.6,103.0,176387405.0,59000000.0
5.5,136.0,33685268.0,68000000.0
7.4,150.0,182204440.0,65000000.0
8.7,136.0,171383253.0,63000000.0
7.6,140.0,172071312.0,62000000.0
7.5,113.0,119412921.0,65000000.0
5.5,104.0,139225854.0,60000000.0
7.6,158.0,148775460.0,61000000.0
6.5,119.0,115731542.0,65000000.0
6.9,106.0,100468793.0,65000000.0
6.7,136.0,93771072.0,65000000.0
6.6,95.0,100448498.0,65000000.0
7.2,137.0,115603980.0,65000000.0
6.4,130.0,90454043.0,65000000.0
6.4,124.0,84049211.0,70000000.0
6.0,108.0,70450000.0,50000000.0
6.1,104.0,69688384.0,60000000.0
6.0,129.0,70236496.0,63000000.0
6.4,117.0,63695760.0,65000000.0
6.4,99.0,59617068.0,65000000.0
7.3,159.0,55637680.0,65000000.0
5.2,118.0,85911262.0,65000000.0
6.6,105.0,53846915.0,50100000.0
6.3,103.0,54758461.0,65000000.0
5.9,122.0,52397389.0,65000000.0
6.4,114.0,0.0,16900000.0
6.7,143.0,38966057.0,65000000.0
5.4,96.0,42345531.0,65000000.0
6.4,111.0,36064910.0,45000000.0
6.7,121.0,33328051.0,65000000.0
6.2,135.0,32598931.0,65000000.0
6.1,101.0,28045540.0,65000000.0
8.8,151.0,37023395.0,63000000.0
7.1,131.0,43532294.0,65000000.0
8.1,60.0,0.0,0.0
5.7,100.0,17218080.0,70000000.0
5.0,105.0,10014234.0,65000000.0
5.1,92.0,19059018.0,65000000.0
6.9,130.0,1987287.0,50000000.0
4.8,100.0,24407944.0,43000000.0
6.5,102.0,13750556.0,65000000.0
5.1,133.0,31054924.0,64000000.0
7.1,121.0,43247140.0,55000000.0
7.5,147.0,2208939.0,50000000.0
6.2,94.0,213079163.0,63000000.0
6.3,94.0,19548064.0,65000000.0
8.1,127.0,356784000.0,63000000.0
6.6,212.0,25052000.0,63000000.0
6.9,141.0,122012710.0,62000000.0
6.1,103.0,72413.0,65000000.0
4.3,98.0,58255287.0,64000000.0
6.6,116.0,77086030.0,62000000.0
6.8,114.0,65000000.0,62000000.0
3.8,87.0,32178777.0,62000000.0
5.9,125.0,15738632.0,42000000.0
7.9,187.0,54116191.0,44000000.0
6.3,93.0,118153533.0,61000000.0
