movie_title,genres,plot_keywords,imdb_score,duration,imdb_score_norm,duration_norm,clean_genres,clean_keywords,embedding_data
Superman Returns ,Action|Adventure|Sci-Fi,crystal|epic|lex luthor|lois lane|return to earth,6.1,169.0,0.5844155844155844,0.3214285714285714,Action Adventure Sci-Fi,crystal epic lex luthor lois lane return to earth,superman returns  crystal epic lex luthor lois lane return to earth genre: Action Adventure Sci-Fi
Quantum of Solace ,Action|Adventure,action hero|attempted rape|bond girl|official james bond series|revenge,6.7,106.0,0.6623376623376623,0.1964285714285714,Action Adventure,action hero attempted rape bond girl official james bond series revenge,quantum of solace  action hero attempted rape bond girl official james bond series revenge genre: Action Adventure
Pirates of the Caribbean: Dead Man's Chest ,Action|Adventure|Fantasy,box office hit|giant squid|heart|liar's dice|monster,7.3,151.0,0.7402597402597402,0.2857142857142857,Action Adventure Fantasy,box office hit giant squid heart liar's dice monster,pirates of the caribbean: dead man's chest  box office hit giant squid heart liar's dice monster genre: Action Adventure Fantasy
The Lone Ranger ,Action|Adventure|Western,horse|outlaw|texas|texas ranger|train,6.5,150.0,0.6363636363636364,0.2837301587301587,Action Adventure Western,horse outlaw texas texas ranger train,the lone ranger  horse outlaw texas texas ranger train genre: Action Adventure Western
Man of Steel ,Action|Adventure|Fantasy|Sci-Fi,based on comic book|british actor playing american character|final battle|origin of hero|reboot,7.2,143.0,0.7272727272727273,0.2698412698412698,Action Adventure Fantasy Sci-Fi,based on comic book british actor playing american character final battle origin of hero reboot,man of steel  based on comic book british actor playing american character final battle origin of hero reboot genre: Action Adventure Fantasy Sci-Fi
The Chronicles of Narnia: Prince Caspian ,Action|Adventure|Family|Fantasy,brother brother relationship|brother sister relationship|good versus evil|king|narnia,6.6,150.0,0.6493506493506492,0.2837301587301587,Action Adventure Family Fantasy,brother brother relationship brother sister relationship good versus evil king narnia,the chronicles of narnia: prince caspian  brother brother relationship brother sister relationship good versus evil king narnia genre: Action Adventure Family Fantasy
The Avengers ,Action|Adventure|Sci-Fi,alien invasion|assassin|battle|iron man|soldier,8.1,173.0,0.844155844155844,0.32936507936507936,Action Adventure Sci-Fi,alien invasion assassin battle iron man soldier,the avengers  alien invasion assassin battle iron man soldier genre: Action Adventure Sci-Fi
Pirates of the Caribbean: On Stranger Tides ,Action|Adventure|Fantasy,blackbeard|captain|pirate|revenge|soldier,6.7,136.0,0.6623376623376623,0.25595238095238093,Action Adventure Fantasy,blackbeard captain pirate revenge soldier,pirates of the caribbean: on stranger tides  blackbeard captain pirate revenge soldier genre: Action Adventure Fantasy
Men in Black 3 ,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|criminal|m.i.b.|maximum security prison|prison,6.8,106.0,0.6753246753246752,0.1964285714285714,Action Adventure Comedy Family Fantasy Sci-Fi,alien criminal m.i.b. maximum security prison prison,men in black 3  alien criminal m.i.b. maximum security prison prison genre: Action Adventure Comedy Family Fantasy Sci-Fi
The Hobbit: The Battle of the Five Armies ,Adventure|Fantasy,army|elf|hobbit|middle earth|orc,7.5,164.0,0.7662337662337662,0.31150793650793646,Adventure Fantasy,army elf hobbit middle earth orc,the hobbit: the battle of the five armies  army elf hobbit middle earth orc genre: Adventure Fantasy
The Amazing Spider-Man ,Action|Adventure|Fantasy,lizard|outcast|spider|spider man|teenager,7.0,153.0,0.7012987012987012,0.28968253968253965,Action Adventure Fantasy,lizard outcast spider spider man teenager,the amazing spider-man  lizard outcast spider spider man teenager genre: Action Adventure Fantasy
Robin Hood ,Action|Adventure|Drama|History,1190s|archer|england|king of england|robin hood,6.7,156.0,0.6623376623376623,0.29563492063492064,Action Adventure Drama History,1190s archer england king of england robin hood,robin hood  1190s archer england king of england robin hood genre: Action Adventure Drama History
The Hobbit: The Desolation of Smaug ,Adventure|Fantasy,dwarf|elf|lake town|mountain|sword and sorcery,7.9,186.0,0.8181818181818182,0.3551587301587301,Adventure Fantasy,dwarf elf lake town mountain sword and sorcery,the hobbit: the desolation of smaug  dwarf elf lake town mountain sword and sorcery genre: Adventure Fantasy
The Golden Compass ,Adventure|Family|Fantasy,children|epic|friend|girl|quest,6.1,113.0,0.5844155844155844,0.2103174603174603,Adventure Family Fantasy,children epic friend girl quest,the golden compass  children epic friend girl quest genre: Adventure Family Fantasy
King Kong ,Action|Adventure|Drama|Romance,animal name in title|ape abducts a woman|gorilla|island|king kong,7.2,201.0,0.7272727272727273,0.3849206349206349,Action Adventure Drama Romance,animal name in title ape abducts a woman gorilla island king kong,king kong  animal name in title ape abducts a woman gorilla island king kong genre: Action Adventure Drama Romance
Titanic ,Drama|Romance,artist|love|ship|titanic|wet,7.7,194.0,0.7922077922077921,0.371031746031746,Drama Romance,artist love ship titanic wet,titanic  artist love ship titanic wet genre: Drama Romance
Captain America: Civil War ,Action|Adventure|Sci-Fi,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,8.2,147.0,0.8571428571428571,0.27777777777777773,Action Adventure Sci-Fi,based on comic book knife marvel cinematic universe returning character killed off superhero,captain america: civil war  based on comic book knife marvel cinematic universe returning character killed off superhero genre: Action Adventure Sci-Fi
Battleship ,Action|Adventure|Sci-Fi|Thriller,box office flop|hawaii|naval|oahu hawaii|ship,5.9,131.0,0.5584415584415584,0.246031746031746,Action Adventure Sci-Fi Thriller,box office flop hawaii naval oahu hawaii ship,battleship  box office flop hawaii naval oahu hawaii ship genre: Action Adventure Sci-Fi Thriller
Jurassic World ,Action|Adventure|Sci-Fi|Thriller,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,7.0,124.0,0.7012987012987012,0.23214285714285712,Action Adventure Sci-Fi Thriller,dinosaur disaster film experiment gone wrong jurassic park velociraptor,jurassic world  dinosaur disaster film experiment gone wrong jurassic park velociraptor genre: Action Adventure Sci-Fi Thriller
Skyfall ,Action|Adventure|Thriller,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,7.8,143.0,0.8051948051948051,0.2698412698412698,Action Adventure Thriller,brawl childhood home computer cracker intelligence agency terrorist cell,skyfall  brawl childhood home computer cracker intelligence agency terrorist cell genre: Action Adventure Thriller
Spider-Man 2 ,Action|Adventure|Fantasy|Romance,death|doctor|scientist|super villain|tentacle,7.3,135.0,0.7402597402597402,0.25396825396825395,Action Adventure Fantasy Romance,death doctor scientist super villain tentacle,spider-man 2  death doctor scientist super villain tentacle genre: Action Adventure Fantasy Romance
Iron Man 3 ,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,7.2,195.0,0.7272727272727273,0.37301587301587297,Action Adventure Sci-Fi,armor explosion human bomb missile attack terrorist,iron man 3  armor explosion human bomb missile attack terrorist genre: Action Adventure Sci-Fi
Alice in Wonderland ,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,6.5,108.0,0.6363636363636364,0.20039682539682538,Adventure Family Fantasy,alice in wonderland mistaking reality for dream queen shrinking shrinking potion,alice in wonderland  alice in wonderland mistaking reality for dream queen shrinking shrinking potion genre: Adventure Family Fantasy
X-Men: The Last Stand ,Action|Adventure|Fantasy|Sci-Fi|Thriller,battle|mutant|outrage|walking through a wall|x men,6.8,104.0,0.6753246753246752,0.19246031746031744,Action Adventure Fantasy Sci-Fi Thriller,battle mutant outrage walking through a wall x men,x-men: the last stand  battle mutant outrage walking through a wall x men genre: Action Adventure Fantasy Sci-Fi Thriller
Monsters University ,Adventure|Animation|Comedy|Family|Fantasy,cheating|fraternity|monster|singing in a car|university,7.3,104.0,0.7402597402597402,0.19246031746031744,Adventure Animation Comedy Family Fantasy,cheating fraternity monster singing in a car university,monsters university  cheating fraternity monster singing in a car university genre: Adventure Animation Comedy Family Fantasy
Transformers: Revenge of the Fallen ,Action|Adventure|Sci-Fi,autobot|decepticon|machine|sun|symbol,6.0,150.0,0.5714285714285714,0.2837301587301587,Action Adventure Sci-Fi,autobot decepticon machine sun symbol,transformers: revenge of the fallen  autobot decepticon machine sun symbol genre: Action Adventure Sci-Fi
Transformers: Age of Extinction ,Action|Adventure|Sci-Fi,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,5.7,165.0,0.5324675324675324,0.3134920634920635,Action Adventure Sci-Fi,blockbuster bumblebee the character semi truck and trailer texas truck,transformers: age of extinction  blockbuster bumblebee the character semi truck and trailer texas truck genre: Action Adventure Sci-Fi
Oz the Great and Powerful ,Adventure|Family|Fantasy,circus|magic|magician|oz|witch,6.4,130.0,0.6233766233766234,0.244047619047619,Adventure Family Fantasy,circus magic magician oz witch,oz the great and powerful  circus magic magician oz witch genre: Adventure Family Fantasy
The Amazing Spider-Man 2 ,Action|Adventure|Fantasy|Sci-Fi,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,6.7,142.0,0.6623376623376623,0.26785714285714285,Action Adventure Fantasy Sci-Fi,costumed hero death of girlfriend masked vigilante returning character killed off teenager,the amazing spider-man 2  costumed hero death of girlfriend masked vigilante returning character killed off teenager genre: Action Adventure Fantasy Sci-Fi
TRON: Legacy ,Action|Adventure|Sci-Fi,arcade|bridge|disappearance|escape|warrior,6.8,125.0,0.6753246753246752,0.2341269841269841,Action Adventure Sci-Fi,arcade bridge disappearance escape warrior,tron: legacy  arcade bridge disappearance escape warrior genre: Action Adventure Sci-Fi
Cars 2 ,Adventure|Animation|Comedy|Family|Sport,best friend|car race|conspiracy|gadget car|spy,6.3,106.0,0.6103896103896104,0.1964285714285714,Adventure Animation Comedy Family Sport,best friend car race conspiracy gadget car spy,cars 2  best friend car race conspiracy gadget car spy genre: Adventure Animation Comedy Family Sport
Green Lantern ,Action|Adventure|Sci-Fi,autopsy|lantern|planet|ring|test pilot,5.6,123.0,0.5194805194805194,0.23015873015873015,Action Adventure Sci-Fi,autopsy lantern planet ring test pilot,green lantern  autopsy lantern planet ring test pilot genre: Action Adventure Sci-Fi
Toy Story 3 ,Adventure|Animation|Comedy|Family|Fantasy,college|day care|escape|teddy bear|toy,8.3,103.0,0.8701298701298702,0.19047619047619047,Adventure Animation Comedy Family Fantasy,college day care escape teddy bear toy,toy story 3  college day care escape teddy bear toy genre: Adventure Animation Comedy Family Fantasy
Terminator Salvation ,Action|Adventure|Sci-Fi,death row|future|machine|rescue|skynet,6.6,118.0,0.6493506493506492,0.22023809523809523,Action Adventure Sci-Fi,death row future machine rescue skynet,terminator salvation  death row future machine rescue skynet genre: Action Adventure Sci-Fi
Furious 7 ,Action|Crime|Thriller,car falling off a cliff|hospital|revenge|star died before release|terrorist,7.2,140.0,0.7272727272727273,0.2638888888888889,Action Crime Thriller,car falling off a cliff hospital revenge star died before release terrorist,furious 7  car falling off a cliff hospital revenge star died before release terrorist genre: Action Crime Thriller
World War Z ,Action|Adventure|Horror|Sci-Fi|Thriller,chaos|disease|infection|pandemic|zombie,7.0,123.0,0.7012987012987012,0.23015873015873015,Action Adventure Horror Sci-Fi Thriller,chaos disease infection pandemic zombie,world war z  chaos disease infection pandemic zombie genre: Action Adventure Horror Sci-Fi Thriller
X-Men: Days of Future Past ,Action|Adventure|Fantasy|Sci-Fi|Thriller,dystopia|super strength|supernatural power|time paradox|time travel,8.0,149.0,0.8311688311688311,0.28174603174603174,Action Adventure Fantasy Sci-Fi Thriller,dystopia super strength supernatural power time paradox time travel,x-men: days of future past  dystopia super strength supernatural power time paradox time travel genre: Action Adventure Fantasy Sci-Fi Thriller
Star Trek Into Darkness ,Action|Adventure|Sci-Fi,admiral|captain|manhunt|mission|space,7.8,132.0,0.8051948051948051,0.24801587301587297,Action Adventure Sci-Fi,admiral captain manhunt mission space,star trek into darkness  admiral captain manhunt mission space genre: Action Adventure Sci-Fi
Jack the Giant Slayer ,Adventure|Fantasy,bean|giant|king|no opening credits|princess,6.3,114.0,0.6103896103896104,0.21230158730158727,Adventure Fantasy,bean giant king no opening credits princess,jack the giant slayer  bean giant king no opening credits princess genre: Adventure Fantasy
The Great Gatsby ,Drama|Romance,ingratitude|mansion|party|title appears in writing|tragedy,7.3,143.0,0.7402597402597402,0.2698412698412698,Drama Romance,ingratitude mansion party title appears in writing tragedy,the great gatsby  ingratitude mansion party title appears in writing tragedy genre: Drama Romance
Prince of Persia: The Sands of Time ,Action|Adventure|Fantasy|Romance,alamut|dagger|king|persia|princess,6.6,116.0,0.6493506493506492,0.21626984126984125,Action Adventure Fantasy Romance,alamut dagger king persia princess,prince of persia: the sands of time  alamut dagger king persia princess genre: Action Adventure Fantasy Romance
Pacific Rim ,Action|Adventure|Sci-Fi,giant monster|kaiju|pilot|portal|robot,7.0,131.0,0.7012987012987012,0.246031746031746,Action Adventure Sci-Fi,giant monster kaiju pilot portal robot,pacific rim  giant monster kaiju pilot portal robot genre: Action Adventure Sci-Fi
Transformers: Dark of the Moon ,Action|Adventure|Sci-Fi,autobot|decepticon|job interview|moon|spacecraft,6.3,154.0,0.6103896103896104,0.29166666666666663,Action Adventure Sci-Fi,autobot decepticon job interview moon spacecraft,transformers: dark of the moon  autobot decepticon job interview moon spacecraft genre: Action Adventure Sci-Fi
Indiana Jones and the Kingdom of the Crystal Skull ,Action|Adventure|Fantasy,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,6.2,122.0,0.5974025974025974,0.22817460317460314,Action Adventure Fantasy,cult figure femme fatale indiana jones unsubtitled foreign language year 1957,indiana jones and the kingdom of the crystal skull  cult figure femme fatale indiana jones unsubtitled foreign language year 1957 genre: Action Adventure Fantasy
The Good Dinosaur ,Adventure|Animation|Comedy|Family|Fantasy,apatosaurus|asteroid|dinosaur|fear|river,6.8,93.0,0.6753246753246752,0.1706349206349206,Adventure Animation Comedy Family Fantasy,apatosaurus asteroid dinosaur fear river,the good dinosaur  apatosaurus asteroid dinosaur fear river genre: Adventure Animation Comedy Family Fantasy
Brave ,Adventure|Animation|Comedy|Family|Fantasy,archery|coming of age|female warrior|princess|rebellious daughter,7.2,93.0,0.7272727272727273,0.1706349206349206,Adventure Animation Comedy Family Fantasy,archery coming of age female warrior princess rebellious daughter,brave  archery coming of age female warrior princess rebellious daughter genre: Adventure Animation Comedy Family Fantasy
Star Trek Beyond ,Action|Adventure|Sci-Fi|Thriller,hatred|sequel|space opera|star trek|third part,7.5,122.0,0.7662337662337662,0.22817460317460314,Action Adventure Sci-Fi Thriller,hatred sequel space opera star trek third part,star trek beyond  hatred sequel space opera star trek third part genre: Action Adventure Sci-Fi Thriller
WALL·E ,Adventure|Animation|Family|Sci-Fi,earth|obesity|plant|robot|soil,8.4,98.0,0.8831168831168831,0.18055555555555552,Adventure Animation Family Sci-Fi,earth obesity plant robot soil,wall·e  earth obesity plant robot soil genre: Adventure Animation Family Sci-Fi
Rush Hour 3 ,Action|Comedy|Crime|Thriller,ambassador|assassination|chinese|french|triad,6.2,91.0,0.5974025974025974,0.16666666666666666,Action Comedy Crime Thriller,ambassador assassination chinese french triad,rush hour 3  ambassador assassination chinese french triad genre: Action Comedy Crime Thriller
2012 ,Action|Adventure|Sci-Fi,ark|catastrophe|geologist|president|writer,5.8,158.0,0.5454545454545454,0.2996031746031746,Action Adventure Sci-Fi,ark catastrophe geologist president writer,2012  ark catastrophe geologist president writer genre: Action Adventure Sci-Fi
A Christmas Carol ,Animation|Drama|Family|Fantasy,charles dickens|christmas|christmas eve|ghost|scrooge,6.8,96.0,0.6753246753246752,0.17658730158730157,Animation Drama Family Fantasy,charles dickens christmas christmas eve ghost scrooge,a christmas carol  charles dickens christmas christmas eve ghost scrooge genre: Animation Drama Family Fantasy
Jupiter Ascending ,Action|Adventure|Sci-Fi,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,5.4,127.0,0.49350649350649356,0.23809523809523808,Action Adventure Sci-Fi,box office flop critically bashed planet earth space opera woman in bra and panties,jupiter ascending  box office flop critically bashed planet earth space opera woman in bra and panties genre: Action Adventure Sci-Fi
The Legend of Tarzan ,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,6.6,110.0,0.6493506493506492,0.20436507936507936,Action Adventure Drama Romance,africa capture jungle male objectification tarzan,the legend of tarzan  africa capture jungle male objectification tarzan genre: Action Adventure Drama Romance
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Adventure|Family|Fantasy,hide and seek|lion|magic|professor|snow,6.9,150.0,0.6883116883116883,0.2837301587301587,Adventure Family Fantasy,hide and seek lion magic professor snow,"the chronicles of narnia: the lion, the witch and the wardrobe  hide and seek lion magic professor snow genre: Adventure Family Fantasy"
X-Men: Apocalypse ,Action|Adventure|Sci-Fi,mutant|superhero|superhero team|x men|year 1983,7.3,144.0,0.7402597402597402,0.2718253968253968,Action Adventure Sci-Fi,mutant superhero superhero team x men year 1983,x-men: apocalypse  mutant superhero superhero team x men year 1983 genre: Action Adventure Sci-Fi
The Dark Knight ,Action|Crime|Drama|Thriller,based on comic book|dc comics|psychopath|star died before release|urban setting,9.0,152.0,0.961038961038961,0.2876984126984127,Action Crime Drama Thriller,based on comic book dc comics psychopath star died before release urban setting,the dark knight  based on comic book dc comics psychopath star died before release urban setting genre: Action Crime Drama Thriller
Up ,Adventure|Animation|Comedy|Family,balloon|house|promise|retirement|skeleton,8.3,96.0,0.8701298701298702,0.17658730158730157,Adventure Animation Comedy Family,balloon house promise retirement skeleton,up  balloon house promise retirement skeleton genre: Adventure Animation Comedy Family
Monsters vs. Aliens ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,alien|alien invasion|alien space craft|giant|giantess,6.5,94.0,0.6363636363636364,0.17261904761904762,Action Adventure Animation Comedy Family Sci-Fi,alien alien invasion alien space craft giant giantess,monsters vs. aliens  alien alien invasion alien space craft giant giantess genre: Action Adventure Animation Comedy Family Sci-Fi
Iron Man ,Action|Adventure|Sci-Fi,afghanistan|billionaire|inventor|playboy|u.s. air force,7.9,126.0,0.8181818181818182,0.2361111111111111,Action Adventure Sci-Fi,afghanistan billionaire inventor playboy u.s. air force,iron man  afghanistan billionaire inventor playboy u.s. air force genre: Action Adventure Sci-Fi
Hugo ,Adventure|Drama|Family|Mystery,automaton|mechanical|railway station|steampunk|train,7.5,126.0,0.7662337662337662,0.2361111111111111,Adventure Drama Family Mystery,automaton mechanical railway station steampunk train,hugo  automaton mechanical railway station steampunk train genre: Adventure Drama Family Mystery
Wild Wild West ,Action|Comedy|Sci-Fi|Western,buddy movie|general|inventor|steampunk|utah,4.8,106.0,0.4155844155844155,0.1964285714285714,Action Comedy Sci-Fi Western,buddy movie general inventor steampunk utah,wild wild west  buddy movie general inventor steampunk utah genre: Action Comedy Sci-Fi Western
The Mummy: Tomb of the Dragon Emperor ,Action|Adventure|Fantasy|Horror|Thriller,army|china|emperor|mummy|shangri la,5.2,112.0,0.4675324675324676,0.20833333333333331,Action Adventure Fantasy Horror Thriller,army china emperor mummy shangri la,the mummy: tomb of the dragon emperor  army china emperor mummy shangri la genre: Action Adventure Fantasy Horror Thriller
Suicide Squad ,Action|Adventure|Comedy|Sci-Fi,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,6.9,123.0,0.6883116883116883,0.23015873015873015,Action Adventure Comedy Sci-Fi,based on comic book critically bashed father daughter relationship reference to superman super villain,suicide squad  based on comic book critically bashed father daughter relationship reference to superman super villain genre: Action Adventure Comedy Sci-Fi
Evan Almighty ,Comedy|Family|Fantasy,ark|change|congressman|depiction of god|flood,5.4,96.0,0.49350649350649356,0.17658730158730157,Comedy Family Fantasy,ark change congressman depiction of god flood,evan almighty  ark change congressman depiction of god flood genre: Comedy Family Fantasy
Edge of Tomorrow ,Action|Adventure|Sci-Fi,alien|combat|dying repeatedly|end of the world|time loop,7.9,113.0,0.8181818181818182,0.2103174603174603,Action Adventure Sci-Fi,alien combat dying repeatedly end of the world time loop,edge of tomorrow  alien combat dying repeatedly end of the world time loop genre: Action Adventure Sci-Fi
Waterworld ,Action|Adventure|Sci-Fi|Thriller,future|sail|sea|smoker|water,6.1,176.0,0.5844155844155844,0.3353174603174603,Action Adventure Sci-Fi Thriller,future sail sea smoker water,waterworld  future sail sea smoker water genre: Action Adventure Sci-Fi Thriller
G.I. Joe: The Rise of Cobra ,Action|Adventure|Sci-Fi|Thriller,cobra|gi joe|snake|train|warhead,5.8,118.0,0.5454545454545454,0.22023809523809523,Action Adventure Sci-Fi Thriller,cobra gi joe snake train warhead,g.i. joe: the rise of cobra  cobra gi joe snake train warhead genre: Action Adventure Sci-Fi Thriller
Inside Out ,Adventure|Animation|Comedy|Drama|Family|Fantasy,anger|joy|memory|running away|sadness,8.3,95.0,0.8701298701298702,0.1746031746031746,Adventure Animation Comedy Drama Family Fantasy,anger joy memory running away sadness,inside out  anger joy memory running away sadness genre: Adventure Animation Comedy Drama Family Fantasy
The Jungle Book ,Adventure|Drama|Family|Fantasy,fire|jungle|remake|tiger|wolf,7.8,106.0,0.8051948051948051,0.1964285714285714,Adventure Drama Family Fantasy,fire jungle remake tiger wolf,the jungle book  fire jungle remake tiger wolf genre: Adventure Drama Family Fantasy
Iron Man 2 ,Action|Adventure|Sci-Fi,hammer|military|monaco|revenge|tony stark,7.0,124.0,0.7012987012987012,0.23214285714285712,Action Adventure Sci-Fi,hammer military monaco revenge tony stark,iron man 2  hammer military monaco revenge tony stark genre: Action Adventure Sci-Fi
Snow White and the Huntsman ,Action|Adventure|Drama|Fantasy,evil queen|fairy tale|magic|queen|snow white,6.1,132.0,0.5844155844155844,0.24801587301587297,Action Adventure Drama Fantasy,evil queen fairy tale magic queen snow white,snow white and the huntsman  evil queen fairy tale magic queen snow white genre: Action Adventure Drama Fantasy
Maleficent ,Action|Adventure|Family|Fantasy|Romance,curse|dark fantasy|fairy|king|kingdom,7.0,97.0,0.7012987012987012,0.17857142857142855,Action Adventure Family Fantasy Romance,curse dark fantasy fairy king kingdom,maleficent  curse dark fantasy fairy king kingdom genre: Action Adventure Family Fantasy Romance
Dawn of the Planet of the Apes ,Action|Adventure|Drama|Sci-Fi,ape|dam|leader|post apocalypse|sequel,7.6,130.0,0.7792207792207791,0.244047619047619,Action Adventure Drama Sci-Fi,ape dam leader post apocalypse sequel,dawn of the planet of the apes  ape dam leader post apocalypse sequel genre: Action Adventure Drama Sci-Fi
The Lovers ,Action|Adventure|Romance|Sci-Fi,1770s|british india|great barrier reef|india|ring,4.5,109.0,0.37662337662337664,0.20238095238095236,Action Adventure Romance Sci-Fi,1770s british india great barrier reef india ring,the lovers  1770s british india great barrier reef india ring genre: Action Adventure Romance Sci-Fi
47 Ronin ,Action|Adventure|Drama|Fantasy,box office flop|ronin|samurai|shogun|tournament,6.3,128.0,0.6103896103896104,0.24007936507936506,Action Adventure Drama Fantasy,box office flop ronin samurai shogun tournament,47 ronin  box office flop ronin samurai shogun tournament genre: Action Adventure Drama Fantasy
Captain America: The Winter Soldier ,Action|Adventure|Sci-Fi,conspiracy|heroism|megalomaniac|super soldier|world domination,7.8,136.0,0.8051948051948051,0.25595238095238093,Action Adventure Sci-Fi,conspiracy heroism megalomaniac super soldier world domination,captain america: the winter soldier  conspiracy heroism megalomaniac super soldier world domination genre: Action Adventure Sci-Fi
Shrek Forever After ,Adventure|Animation|Comedy|Family|Fantasy,alternate world|fairy tale parody|female warrior|ogre|true love,6.4,93.0,0.6233766233766234,0.1706349206349206,Adventure Animation Comedy Family Fantasy,alternate world fairy tale parody female warrior ogre true love,shrek forever after  alternate world fairy tale parody female warrior ogre true love genre: Adventure Animation Comedy Family Fantasy
Tomorrowland ,Action|Adventure|Family|Mystery|Sci-Fi,boy genius|futuristic city|inventor|teenage girl|time travel,6.5,130.0,0.6363636363636364,0.244047619047619,Action Adventure Family Mystery Sci-Fi,boy genius futuristic city inventor teenage girl time travel,tomorrowland  boy genius futuristic city inventor teenage girl time travel genre: Action Adventure Family Mystery Sci-Fi
Big Hero 6 ,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,high tech|martial arts|masked man|robot|superhero,7.9,102.0,0.8181818181818182,0.1884920634920635,Action Adventure Animation Comedy Drama Family Sci-Fi,high tech martial arts masked man robot superhero,big hero 6  high tech martial arts masked man robot superhero genre: Action Adventure Animation Comedy Drama Family Sci-Fi
Wreck-It Ralph ,Adventure|Animation|Comedy|Family|Sci-Fi,arcade|candy|glitch|king|medal,7.8,101.0,0.8051948051948051,0.18650793650793648,Adventure Animation Comedy Family Sci-Fi,arcade candy glitch king medal,wreck-it ralph  arcade candy glitch king medal genre: Adventure Animation Comedy Family Sci-Fi
The Polar Express ,Adventure|Animation|Family|Fantasy,boy|christmas|christmas eve|north pole|train,6.6,100.0,0.6493506493506492,0.1845238095238095,Adventure Animation Family Fantasy,boy christmas christmas eve north pole train,the polar express  boy christmas christmas eve north pole train genre: Adventure Animation Family Fantasy
